Gene,signalvalue
LINC01011,180.3560133
LOC100507506,151.3732831
C6orf52,98.38662718
PAK1IP1,98.38662718
SYCP2L,60.81035471
TBC1D7-LOC100130357,71.12815487
DEK,74.89497268
TRIM38,67.74058707
HIST1H2AC,76.68159998
HIST1H2BD,155.3491651
ABT1,79.38968004
TRIM39,115.4863793
PPP1R10,62.76002869
MRPS18B,62.76002869
FLOT1,132.0372198
HCG20,112.8594869
LOC105375014,54.4114418
GTF2H4,97.64914816
PSMB8,54.35273829
PSMB8-AS1,54.35273829
HLA-DMB,252.5801582
WDR46,54.09688643
PFDN6,54.09688643
MIR6834,54.09688643
UHRF1BP1,90.00653865
ETV7,65.60112092
PXT1,98.87955703
STK38,80.32379425
TREML2,64.80898653
CNPY3,68.37275409
CNPY3-GNMT,68.37275409
NFKBIE,61.05389612
GSTA4,150.8178264
KCNQ5-IT1,66.42296011
DOPEY1,52.17378726
LINC01611,103.3821828
NT5E,103.6563442
SMIM8,72.66364452
GABRR2,59.18371763
RRAGD,320.4749976
FHL5,114.2013562
PNISR,53.42265117
PRDM1,101.3788207
AIM1,53.82354991
CDC40,50.08359449
LOC101927686,149.6323746
FRK,193.0554848
ZUFSP,182.7247933
NCOA7-AS1,231.0358108
STX7,323.6477327
PHACTR2-AS1,165.8159012
ZC2HC1B,70.27931107
STX11,78.99358892
LOC105378047,81.87398041
GINM1,68.86386604
RMND1,53.51410447
MIR3163,131.1191461
PRTFDC1,80.71585396
SFMBT2,50.08692371
USP6NL,58.58716791
FAM107B,229.5566735
MLLT10,55.09003564
KIAA1217,51.79697642
PARD3,113.8386541
PRKG1,54.86428989
ANK3,79.04650853
RTKN2,73.75865831
JMJD1C,96.92156044
CTNNA3,60.32192531
CDH23,100.4970376
GRID1,74.59282896
RNLS,75.4210252
ENTPD1,145.6680572
ENTPD1-AS1,145.6680572
DNMBP,50.59914239
DNMBP-AS1,50.59914239
C10orf76,67.03519724
VTI1A,96.00829577
DIP2C,95.80223934
PRKCQ,350.8028303
CELF2,130.4373862
UPF2,62.99980871
SEPHS1,76.95020758
FRMD4A,111.8669135
NMT2,83.71739386
CACNB2,107.6541977
PLXDC2,102.7699921
DNAJC1,94.09131638
PIP4K2A,101.0653929
SVIL,132.5220571
LINC00841,52.36902802
MAPK8,103.035759
WDFY4,112.8391495
ERCC6,54.42513619
SGMS1,224.8249932
CCDC6,108.5705376
ARID5B,62.27789598
ZNF365,110.0162813
LINC01515,51.42722301
LRRC20,70.41193207
ASCC1,136.758356
CAMK2G,185.8754723
VCL,74.45417492
ADK,138.2688349
KAT6B,89.01327055
ZMIZ1,79.34183582
ANXA11,57.14115145
CCSER2,106.8445754
BMPR1A,51.27355561
ATAD1,133.9911164
IFIT3,123.8112261
BTAF1,141.3578676
CPEB3,109.4621087
EXOC6,51.2897788
HELLS,107.1504427
PIK3AP1,57.50836008
LCOR,169.5335985
MGEA5,69.61870412
NEURL1-AS1,64.0902884
LINC01435,188.4014347
ADD3,76.86928286
RBM20,640.8826828
ACSL5,62.24216528
TCF7L2,80.14409856
DCLRE1A,57.4061089
FAM160B1,74.25402522
RAB11FIP2,99.03165567
CPXM2,585.3903961
FAM53B,269.9161229
CTBP2,309.0634117
FLJ37035,209.1472185
PTPRE,50.6020834
INPP5A,69.03842003
ANKRD16,61.62274298
IL2RA,107.7151049
DHTKD1,58.28069409
DCLRE1C,70.26031551
SLC39A12,100.7354673
CREM,82.63746473
C10orf128,58.25272863
EGR2,62.18412824
MYPN,62.02843087
SRGN,262.5064953
LOC101928994,55.87951519
HKDC1,55.87951519
SAR1A,81.90081908
PSAP,55.32433276
GLUD1,87.97872854
ANKRD22,110.558901
STAMBPL1,138.4869749
NOC3L,80.44958627
BLNK,60.87793093
R3HCC1L,66.66640995
KCNIP2-AS1,69.61870412
MXI1,132.1191858
GUCY2GP,51.77641786
ZDHHC6,52.55059893
NHLRC2,57.4061089
FAM45A,231.3521752
FAM45BP,231.3521752
EDRF1,209.1472185
LOC100130987,50.44043173
DGAT2,64.68038075
DLG2,53.6686986
PDE3B,73.38895075
NAV2,50.94578769
LRRC4C,162.6467161
LRP5,57.1718594
CTTN,69.48905438
TENM4,99.27413521
EED,62.00743255
DISC1FP1,115.1520779
LOC105369438,117.6664638
CNTN5,67.02706959
PDGFD,114.3363631
GRIK4,264.0442959
UBASH3B,70.87408405
NTM,107.5751119
NUP98,57.48695375
STIM1,90.54927412
PPFIBP2,64.05407933
SCUBE2,85.36372764
DENND5A,57.75401455
SWAP70,121.5608589
MICAL2,88.80060357
ARNTL,63.76609681
SOX6,107.3177218
PLEKHA7,122.4031571
ANO5,105.8072967
GAS2,169.13153
ABTB2,161.6306116
SLC1A2,108.7413792
PRR5L,84.82160507
TSPAN18,51.51285942
AMBRA1,72.82150214
TMEM109,58.27966654
ASRGL1,72.53672161
ATL3,177.4048095
PACS1,57.80102749
RNF121,96.20399106
FCHSD2,60.6287384
NARS2,50.33452982
PICALM,51.89058554
ME3,127.4294749
PRSS23,58.67011277
GRM5,198.2326706
CEP295,145.9451461
MAML2,157.1090442
LOC102723838,80.71820414
DDX10,65.0911768
LOC105369486,67.55013936
ALG9,72.8843609
PIH1D2,68.58725452
SIK3,54.9981752
USP2-AS1,144.812582
ARHGEF12,63.83986539
SORL1,51.61358957
ETS1,108.0948779
FLI1,63.56994203
SCGB1C2,57.70500173
SCGB1C1,57.70500173
SIRT3,78.1595479
PSMD13,78.1595479
LSP1,91.69021186
ZNF143,84.68122175
MIR6073,107.3177218
PTPN5,203.3838196
EHF,110.443839
CD44,52.87066828
ARHGAP1,100.5427843
ZNF408,100.5427843
DTX4,55.5155995
STX3,52.04185154
MS4A1,454.7146507
MS4A15,55.81756483
WDR74,95.22126346
MARK2,126.4373846
NEAT1,180.3298619
EHBP1L1,105.3998073
SIPA1,117.4655224
RELA,133.5564134
MRPL11,72.77340506
CLCF1,50.44043173
CHKA,76.03904172
C11orf24,68.27198285
TPCN2,117.1822169
ARAP1,52.66261712
RNF169,50.77167124
DDIAS,77.28825228
CTSC,255.991578
SMCO4,54.75473001
MRE11A,260.2664037
PIWIL4,117.6664638
BIRC3,98.93750484
TMEM123,78.96475468
CASP12,75.0786278
C11orf57,68.58725452
PCSK7,58.38369361
RNF214,58.38369361
MPZL3,159.791322
DPAGT1,65.83997559
POU2F3,63.81052651
TBCEL,57.45749272
CRTAM,141.4044891
DCPS,84.43692236
MIR6090,51.85001738
LINC00167,82.8318556
