Gene,signalvalue
SH3BP5,98.04427622
RFTN1,109.3922737
DAZL,135.481859
PLCL2,177.1579211
TBC1D5,69.76863047
LOC339862,88.20179245
KAT2B,75.43909459
UBE2E2,81.54330728
MIR548AC,61.20589143
UBE2E1,93.52350906
SLC4A7,79.90708738
STT3B,50.77112864
OSBPL10,58.1453694
TRANK1,78.09135345
GOLGA4,82.58224577
TRAK1,104.7792068
LZTFL1,225.7403004
FYCO1,81.31826083
CCR2,53.20164563
DAG1,75.08731992
PBRM1,62.84191531
CACNA1D,69.3201486
ARHGEF3,163.6167723
PXK,76.17028817
C3orf67,114.7371655
C3orf67-AS1,114.7371655
MAGI1,72.69371758
LRIG1,199.7609566
FRMD4B,160.715343
LINC00877,59.42947004
RYBP,82.9100637
SHQ1,90.01952799
PDZRN3,92.09687303
COL8A1,61.1743692
SENP7,70.02749876
CBLB,111.333985
MORC1,78.70128925
SLC9C1,66.10982249
ATP6V1A,60.58482005
LSAMP,89.92066627
HCLS1,54.97468774
LOC102723582,59.19093684
KPNA1,82.19011403
KALRN,149.7932674
SLC12A8,105.1202472
SNX4,115.8680612
CHCHD6,97.16795219
MGLL,109.1638798
TMCC1,61.69834904
COL6A6,67.52842594
ATP2C1,75.90480651
CPNE4,98.59362341
TMEM108,59.96608913
PPP2R3A,70.90406722
CEP70,106.8619461
LOC100507291,51.53527154
ZBTB38,75.86560859
TFDP2,50.18472659
SLC9A9,84.28912016
LOC440982,54.7485256
WWTR1,72.09948848
LOC105374313,174.9949121
LOC101928166,95.50487565
ARHGEF26,52.20918027
PLCH1,113.6036828
LEKR1,89.90709773
RSRC1,100.5801061
IL12A-AS1,180.0412489
PRKCI,58.47433362
SLC7A14,170.4326486
LOC101928583,170.4326486
TMEM212,122.4241053
NAALADL2-AS2,81.81611773
TBL1XR1,126.9185021
ATP11B,66.6529609
LAMP3,52.9593793
KLHL6,73.04416915
EHHADH,79.47893778
DGKG,86.7966935
ST6GAL1,123.9299342
LPP,160.735599
TPRG1,68.74403791
TP63,109.5321579
MB21D2,122.3766444
OPA1,63.01239822
LSG1,124.8574671
XXYLT1,166.7512793
DLG1,62.68526819
LRCH3,116.8950752
EGOT,94.19773618
BHLHE40,95.42003631
TAMM41,127.5103695
MKRN2,67.8763287
RAF1,66.94350132
BTD,90.83612152
RBMS3-AS3,67.84689541
CMTM7,73.3289394
CMTM6,52.38989091
EPM2AIP1,53.28671245
MLH1,53.28671245
LRRFIP2,102.4838043
EXOG,77.14621065
WDR48,56.15788971
CCR8,69.45015725
SLC25A38,52.22562999
NKTR,121.2230084
LOC101928323,121.2230084
CCR9,129.0250659
LOC102724297,109.3963667
CCR5,109.3963667
LRRC2,120.7496954
PRSS46,72.49032796
CCDC12,57.09263407
SCAP,62.00006487
PPM1M,119.7646285
ARHGEF3-AS1,126.68676
EOGT,80.22328517
ARL6IP5,71.41468757
TFG,58.25075131
IMPG2,334.9019273
FAM172BP,101.2591317
CD47,83.92065408
LINC01215,103.4739016
KIAA1524,171.6836241
ATG3,58.24339611
LINC01279,87.21776122
CD200R1,116.6603538
LOC101929754,51.23904662
GTF2E1,119.14554
GOLGB1,104.0240107
ILDR1,155.9416606
CD86,98.42677285
CCDC58,60.42314853
PARP9,169.2560341
PARP15,236.1177545
HACD2,84.28328566
MIR6083,149.7932674
HEG1,108.0792506
TPRA1,204.6417645
HMCES,135.0199931
DZIP1L,64.24974516
ARMC8,74.20725325
COPB2,119.9350535
RBP1,51.53527154
HLTF-AS1,100.7306762
TM4SF1-AS1,56.25750129
P2RY12,52.19444786
LINC01100,101.8981024
PDCD10,57.05512282
LRRC31,86.49539795
LOC100128164,111.9103946
GPR160,121.4479173
CLDN11,53.69227726
LINC00501,208.3809249
LINC01014,149.5894407
DCUN1D1,51.93829216
LIPH,87.45114038
OSTN,266.8086486
UTS2B,108.0601781
OPA1-AS1,63.01239822
LOC647323,77.40520048
CCSER1,69.29530633
LEF1,95.35047262
IL15,162.2593498
SPOCK3,71.07901584
STK32B,71.90485993
HTT,132.4462743
LINC00504,133.0762333
APBB2,94.78109844
GABRB1,114.5373386
USP46,189.6663563
ADGRL3,100.3932069
SLC4A4,82.71662254
RASSF6,64.71969013
SHROOM3,114.5179828
C4orf22,195.5143129
LOC101928978,60.196104
MAPK10,78.23698455
GRID2,87.4467291
BANK1,84.24559624
ALPK1,139.5857135
ANK2,53.07161354
PRDM5,61.55552386
ZNF827,177.7162771
ARHGAP10,117.4249868
1-Mar,76.67242139
GALNTL6,61.80816804
TENM3,136.0813806
TNIP2,178.7769573
GRK4,77.34522821
RGS12,63.45935764
STX18,60.25832769
STX18-AS1,69.48587777
EVC,62.56296797
JAKMIP1,255.8947733
KIAA0232,72.87593735
TBC1D14,118.1146555
SLC2A9,62.86169034
CLNK,102.6612552
LCORL,55.02677599
RBPJ,61.55063725
TBC1D19,211.4261968
STIM2,59.63374656
ARAP2,59.9870872
DTHD1,202.8363355
NWD2,72.52939338
TBC1D1,158.6437644
FAM114A1,91.01571127
RFC1,122.3274292
SMIM14,140.6150124
RHOH,89.80680583
RBM47,57.35934187
NSUN7,55.99738929
ATP8A1,128.7243367
ATP10D,52.02771927
TXK,99.35022415
FRYL,92.05392639
FIP1L1,116.1554312
NMU,86.01013712
CEP135,93.82981729
NPFFR2,304.7132882
PARM1,73.46758609
LOC100507388,73.46758609
ART3,273.4650536
FAM47E-STBD1,60.58441433
CXCL13,66.37403726
LINC01088,228.934238
ANTXR2,76.15159645
ARHGAP24,114.357511
PTPN13,56.3920916
AFF1,85.33895705
HERC3,102.6415611
TSPAN5,57.21739673
LOC256880,150.0462746
TET2,78.24770467
TET2-AS1,159.6810861
ARHGEF38,116.1684115
GSTCD,124.5125458
ELOVL6,78.77302274
CAMK2D,160.9720486
SEC24D,53.6189787
SYNPO2,62.84041735
USP53,248.8210118
SPATA5,128.6833843
INTU,87.57634343
LINC01256,60.74705916
MAML3,167.4353933
GAB1,84.34292266
ANAPC10,69.63298052
SLC10A7,114.3220033
DCLK2,119.9189759
LRBA,81.20234477
FBXW7,109.448317
KIAA0922,62.8743998
PALLD,128.4525583
SH3RF1,133.9369065
NEK1,65.95022079
GALNT7,50.44010911
SCRG1,51.64451738
GLRA3,53.49440681
GPM6A,51.85985751
WDR17,75.52237391
IRF2,145.8912812
ACSL1,64.09011563
CFAP97,50.34185228
SNX25,61.74217143
NOP14,95.85866233
LOC101928279,108.206905
LINC01085,63.62440709
CD38,110.4634378
SEPSECS,64.52178709
LOC439933,51.67020832
LINC01258,92.8471935
TMEM156,156.275733
LOC101060498,90.76860598
NIPAL1,105.9558097
DCUN1D4,70.14324163
STATH,148.9642276
JCHAIN,99.70673939
RUFY3,110.8374841
SCARB2,57.50847692
11-Sep,55.96669392
BMP3,57.17619879
THAP9,182.3031474
COQ2,82.88436385
GPAT3,55.342492
MIR4452,69.19978276
HSD17B13,89.90688952
SPARCL1,98.46609133
EIF4E,158.6293131
METAP1,57.77252158
DAPP1,239.4467079
NFKB1,171.4317324
CASP6,58.17875435
TNIP3,74.48117255
SLC7A11,57.74950339
NDUFC1,68.41583841
SPATA4,53.09878978
LOC102723766,53.80370073
MIR3945HG,99.50136802
UFSP2,125.3143108
C4orf47,163.0609411
MYO10,95.16858831
ADAMTS12,65.39011528
PDE4D,133.067671
SV2C,100.0819406
MAN2A1,60.73309081
LOC102467224,74.00804627
GRAMD3,95.53553227
ARHGAP26,158.0653945
SEMA5A,99.63757923
OTULIN,58.42453024
WDR70,84.30007672
IPO11,73.33525078
MAST4,173.4963092
PDE8B,189.2895971
SSBP2,75.39133594
MEF2C,75.23336209
ADGRV1,142.4136807
MCTP1,239.7600623
LOC101929710,275.5935614
LIX1,221.6087648
EFNA5,121.4041996
SLC25A46,82.94777691
NREP,67.52388654
FNIP1,68.16816715
DPYSL3,64.33587975
EBF1,100.6860629
TENM2,153.8588706
AHRR,66.52873055
ANKRD33B,143.5847344
DAP,177.1745798
TRIO,152.8376752
ANKH,99.98222143
PDZD2,112.9655643
PRLR,105.6087488
SKP2,65.80554552
NIPBL,60.08092592
C5orf42,79.66432428
OXCT1,54.03638906
NIM1K,149.2711069
ITGA2,55.32031825
SKIV2L2,163.6537175
DDX4,183.8276165
CWC27,109.8993846
ADAMTS6,118.1833707
MCCC2,57.6772409
MAP1B,81.25313984
ARHGEF28,152.8355319
POLK,93.2661703
IQGAP2,119.1725409
F2R,58.46330724
AP3B1,96.07615979
LHFPL2,82.68939419
ARSB,130.2384808
CMYA5,56.95033492
THBS4,69.91142547
SERINC5,176.555372
MSH3,97.07237779
LOC101929380,63.6941976
MEF2C-AS1,153.04385
NR2F1-AS1,80.51109398
ARSK,63.31727245
ELL2,141.0321866
PAM,57.06796872
FBXL17,70.84666279
FER,423.4296424
CAMK4,112.6105463
YTHDC2,85.09126706
KCNN2,71.86796866
TMED7-TICAM2,101.5652361
LOC101927100,72.58343703
AP3S1,206.19643
LOC105379143,50.32889778
TNFAIP8,154.0238042
PRR16,63.44896289
SNCAIP,101.999537
LOC101927379,96.74173514
CSNK1G3,71.10159038
LOC102723557,76.72622061
3-Mar,70.80750201
CDC42SE2,56.38482584
RAPGEF6,118.0740802
ACSL6,140.5930476
FSTL4,80.61399728
C5orf15,85.64709139
SAR1B,58.21845895
CTNNA1,68.82539636
ECSCR,63.79348209
NRG2,77.62884773
